source,target,edge_type,weight
Greece team_defense_unit,Greece,player_team,2.423
Haiti team_attack_unit,Haiti,player_team,2.085
Haiti team_midfield_unit,Haiti,player_team,2.491
Haiti team_defense_unit,Haiti,player_team,1.495
Honduras team_attack_unit,Honduras,player_team,2.59
Honduras team_midfield_unit,Honduras,player_team,1.432
Honduras team_defense_unit,Honduras,player_team,0.891
Hungary team_attack_unit,Hungary,player_team,5.188
Hungary team_midfield_unit,Hungary,player_team,2.704
Hungary team_defense_unit,Hungary,player_team,7.461
Iceland team_attack_unit,Iceland,player_team,2.154
Iceland team_midfield_unit,Iceland,player_team,0.926
Iceland team_defense_unit,Iceland,player_team,1.993
Indonesia team_attack_unit,Indonesia,player_team,1.207
Indonesia team_midfield_unit,Indonesia,player_team,0.889
Indonesia team_defense_unit,Indonesia,player_team,1.185
Iran team_attack_unit,Iran,player_team,2.595
Iran team_midfield_unit,Iran,player_team,3.688
Iran team_defense_unit,Iran,player_team,3.366
Iraq team_attack_unit,Iraq,player_team,1.727
Iraq team_midfield_unit,Iraq,player_team,2.073
Iraq team_defense_unit,Iraq,player_team,1.216
Israel team_attack_unit,Israel,player_team,1.891
Israel team_midfield_unit,Israel,player_team,1.251
Israel team_defense_unit,Israel,player_team,0.978
Italy team_attack_unit,Italy,player_team,2.46
Italy team_midfield_unit,Italy,player_team,2.535
Italy team_defense_unit,Italy,player_team,5.844
Ivory Coast team_attack_unit,Ivory Coast,player_team,1.549
Ivory Coast team_midfield_unit,Ivory Coast,player_team,2.728
Ivory Coast team_defense_unit,Ivory Coast,player_team,2.023
Jamaica team_attack_unit,Jamaica,player_team,1.459
Jamaica team_midfield_unit,Jamaica,player_team,3.025
Jamaica team_defense_unit,Jamaica,player_team,3.226
Japan team_attack_unit,Japan,player_team,5.111
Japan team_midfield_unit,Japan,player_team,2.151
Japan team_defense_unit,Japan,player_team,2.06
Kuwait team_attack_unit,Kuwait,player_team,2.065
Kuwait team_midfield_unit,Kuwait,player_team,0.734
Kuwait team_defense_unit,Kuwait,player_team,0.905
Mexico team_attack_unit,Mexico,player_team,3.356
Mexico team_midfield_unit,Mexico,player_team,6.094
Mexico team_defense_unit,Mexico,player_team,3.831
Morocco team_attack_unit,Morocco,player_team,2.426
Morocco team_midfield_unit,Morocco,player_team,2.217
Morocco team_defense_unit,Morocco,player_team,6.358
Netherlands team_attack_unit,Netherlands,player_team,3.024
Netherlands team_midfield_unit,Netherlands,player_team,4.528
Netherlands team_defense_unit,Netherlands,player_team,4.308
New Zealand team_attack_unit,New Zealand,player_team,2.011
New Zealand team_midfield_unit,New Zealand,player_team,2.287
New Zealand team_defense_unit,New Zealand,player_team,2.84
Nigeria team_attack_unit,Nigeria,player_team,3.065
Nigeria team_midfield_unit,Nigeria,player_team,2.221
Nigeria team_defense_unit,Nigeria,player_team,2.25
North Korea team_attack_unit,North Korea,player_team,2.581
North Korea team_midfield_unit,North Korea,player_team,2.791
North Korea team_defense_unit,North Korea,player_team,0.795
Northern Ireland team_attack_unit,Northern Ireland,player_team,4.435
Northern Ireland team_midfield_unit,Northern Ireland,player_team,2.011
Northern Ireland team_defense_unit,Northern Ireland,player_team,2.622
Norway team_attack_unit,Norway,player_team,3.298
Norway team_midfield_unit,Norway,player_team,3.673
Norway team_defense_unit,Norway,player_team,1.192
Panama team_attack_unit,Panama,player_team,0.318
Panama team_midfield_unit,Panama,player_team,2.311
Panama team_defense_unit,Panama,player_team,0.858
Paraguay team_attack_unit,Paraguay,player_team,7.153
Paraguay team_midfield_unit,Paraguay,player_team,2.03
Paraguay team_defense_unit,Paraguay,player_team,3.485
Peru team_attack_unit,Peru,player_team,3.247
Peru team_midfield_unit,Peru,player_team,5.654
Peru team_defense_unit,Peru,player_team,4.013
Poland team_attack_unit,Poland,player_team,5.047
Poland team_midfield_unit,Poland,player_team,2.79
Poland team_defense_unit,Poland,player_team,4.839
Portugal team_attack_unit,Portugal,player_team,2.509
Portugal team_midfield_unit,Portugal,player_team,3.647
Portugal team_defense_unit,Portugal,player_team,4.343
Qatar team_attack_unit,Qatar,player_team,0.809
Qatar team_midfield_unit,Qatar,player_team,1.077
Qatar team_defense_unit,Qatar,player_team,1.73
Republic of Ireland team_attack_unit,Republic of Ireland,player_team,1.269
Republic of Ireland team_midfield_unit,Republic of Ireland,player_team,4.881
Republic of Ireland team_defense_unit,Republic of Ireland,player_team,3.668
Romania team_attack_unit,Romania,player_team,1.813
Romania team_midfield_unit,Romania,player_team,3.584
Romania team_defense_unit,Romania,player_team,2.51
Russia team_attack_unit,Russia,player_team,4.642
Russia team_midfield_unit,Russia,player_team,4.531
Russia team_defense_unit,Russia,player_team,3.507
Saudi Arabia team_attack_unit,Saudi Arabia,player_team,1.736
Saudi Arabia team_midfield_unit,Saudi Arabia,player_team,3.209
Saudi Arabia team_defense_unit,Saudi Arabia,player_team,4.558
Scotland team_attack_unit,Scotland,player_team,6.412
Scotland team_midfield_unit,Scotland,player_team,4.918
Scotland team_defense_unit,Scotland,player_team,4.052
Senegal team_attack_unit,Senegal,player_team,4.844
Senegal team_midfield_unit,Senegal,player_team,1.758
Senegal team_defense_unit,Senegal,player_team,1.667
Serbia team_attack_unit,Serbia,player_team,5.55
Serbia team_midfield_unit,Serbia,player_team,2.366
Serbia team_defense_unit,Serbia,player_team,5.37
Slovakia team_attack_unit,Slovakia,player_team,3.431
Slovakia team_midfield_unit,Slovakia,player_team,1.95
Slovakia team_defense_unit,Slovakia,player_team,1.082
Slovenia team_attack_unit,Slovenia,player_team,3.153
Slovenia team_midfield_unit,Slovenia,player_team,1.51
Slovenia team_defense_unit,Slovenia,player_team,3.247
South Africa team_attack_unit,South Africa,player_team,2.989
South Africa team_midfield_unit,South Africa,player_team,3.823
South Africa team_defense_unit,South Africa,player_team,3.258
South Korea team_attack_unit,South Korea,player_team,2.319
South Korea team_midfield_unit,South Korea,player_team,4.174
South Korea team_defense_unit,South Korea,player_team,4.601
Spain team_attack_unit,Spain,player_team,10.417
Spain team_midfield_unit,Spain,player_team,4.415
Spain team_defense_unit,Spain,player_team,3.256
Sweden team_attack_unit,Sweden,player_team,3.434
Sweden team_midfield_unit,Sweden,player_team,4.181
Sweden team_defense_unit,Sweden,player_team,4.411
Switzerland team_attack_unit,Switzerland,player_team,8.226
Switzerland team_midfield_unit,Switzerland,player_team,2.078
Switzerland team_defense_unit,Switzerland,player_team,5.107
Togo team_attack_unit,Togo,player_team,1.47
Togo team_midfield_unit,Togo,player_team,1.738
Togo team_defense_unit,Togo,player_team,2.816
Trinidad and Tobago team_attack_unit,Trinidad and Tobago,player_team,1.54
Trinidad and Tobago team_midfield_unit,Trinidad and Tobago,player_team,1.693
Trinidad and Tobago team_defense_unit,Trinidad and Tobago,player_team,0.997
Tunisia team_attack_unit,Tunisia,player_team,4.143
Tunisia team_midfield_unit,Tunisia,player_team,2.119
Tunisia team_defense_unit,Tunisia,player_team,3.819
Turkey team_attack_unit,Turkey,player_team,5.336
Turkey team_midfield_unit,Turkey,player_team,4.996
Turkey team_defense_unit,Turkey,player_team,4.185
Ukraine team_attack_unit,Ukraine,player_team,1.618
Ukraine team_midfield_unit,Ukraine,player_team,2.925
Ukraine team_defense_unit,Ukraine,player_team,1.253
United Arab Emirates team_attack_unit,United Arab Emirates,player_team,2.175
United Arab Emirates team_midfield_unit,United Arab Emirates,player_team,0.793
United Arab Emirates team_defense_unit,United Arab Emirates,player_team,2.294
United States team_attack_unit,United States,player_team,3.01
United States team_midfield_unit,United States,player_team,3.295
United States team_defense_unit,United States,player_team,4.483
Uruguay team_attack_unit,Uruguay,player_team,8.684
Uruguay team_midfield_unit,Uruguay,player_team,3.892
Uruguay team_defense_unit,Uruguay,player_team,7.331
Wales team_attack_unit,Wales,player_team,1.809
Wales team_midfield_unit,Wales,player_team,1.813
Wales team_defense_unit,Wales,player_team,3.322
Yugoslavia team_attack_unit,Yugoslavia,player_team,1.841
Yugoslavia team_midfield_unit,Yugoslavia,player_team,4.177
Yugoslavia team_defense_unit,Yugoslavia,player_team,3.01
team:Belgium,match_1,team_match,0.534
sponsor:Visa,team:Belgium,sponsor_team_panel,0.664
sponsor:Visa,match_1,sponsor_match_exposure,3.543
team:France,match_2,team_match,0.493
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.501
sponsor:Qatar Airways,match_2,sponsor_match_exposure,3.487
team:Brazil,match_3,team_match,0.421
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_3,sponsor_match_exposure,3.996
team:Peru,match_4,team_match,0.333
sponsor:Hisense,team:Peru,sponsor_team_panel,0.816
sponsor:Hisense,match_4,sponsor_match_exposure,3.411
team:Argentina,match_5,team_match,0.43
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.768
sponsor:Hyundai,match_5,sponsor_match_exposure,3.636
team:Chile,match_6,team_match,0.374
sponsor:Hisense,team:Chile,sponsor_team_panel,0.738
sponsor:Hisense,match_6,sponsor_match_exposure,3.606
team:Bolivia,match_7,team_match,0.113
sponsor:Qatar Airways,team:Bolivia,sponsor_team_panel,0.455
sponsor:Qatar Airways,match_7,sponsor_match_exposure,2.51
team:Paraguay,match_8,team_match,0.27
sponsor:Hyundai,team:Paraguay,sponsor_team_panel,0.678
sponsor:Hyundai,match_8,sponsor_match_exposure,3.432
team:Uruguay,match_9,team_match,0.439
sponsor:Vivo,team:Uruguay,sponsor_team_panel,0.435
sponsor:Vivo,match_9,sponsor_match_exposure,3.339
team:Argentina,match_10,team_match,0.541
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.768
sponsor:Hyundai,match_10,sponsor_match_exposure,3.839
team:Chile,match_11,team_match,0.328
sponsor:Hisense,team:Chile,sponsor_team_panel,0.738
sponsor:Hisense,match_11,sponsor_match_exposure,3.486
team:Belgium,match_12,team_match,0.51
sponsor:Visa,team:Belgium,sponsor_team_panel,0.664
sponsor:Visa,match_12,sponsor_match_exposure,3.528
team:Bolivia,match_13,team_match,0.109
sponsor:Qatar Airways,team:Bolivia,sponsor_team_panel,0.455
sponsor:Qatar Airways,match_13,sponsor_match_exposure,2.438
team:Uruguay,match_14,team_match,0.519
sponsor:Vivo,team:Uruguay,sponsor_team_panel,0.435
sponsor:Vivo,match_14,sponsor_match_exposure,3.49
team:Argentina,match_15,team_match,0.463
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.768
sponsor:Hyundai,match_15,sponsor_match_exposure,3.707
team:Argentina,match_16,team_match,0.487
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.768
sponsor:Hyundai,match_16,sponsor_match_exposure,3.738
team:Uruguay,match_17,team_match,0.538
sponsor:Vivo,team:Uruguay,sponsor_team_panel,0.435
sponsor:Vivo,match_17,sponsor_match_exposure,3.479
team:Uruguay,match_18,team_match,0.578
sponsor:Vivo,team:Uruguay,sponsor_team_panel,0.435
sponsor:Vivo,match_18,sponsor_match_exposure,3.536
team:Argentina,match_19,team_match,0.502
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.768
sponsor:Hyundai,match_19,sponsor_match_exposure,3.774
team:Austria,match_20,team_match,0.361
sponsor:McDonald's,team:Austria,sponsor_team_panel,0.447
sponsor:McDonald's,match_20,sponsor_match_exposure,3.167
team:Belgium,match_21,team_match,0.628
sponsor:Visa,team:Belgium,sponsor_team_panel,0.664
sponsor:Visa,match_21,sponsor_match_exposure,3.605
team:Brazil,match_22,team_match,0.441
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_22,sponsor_match_exposure,4.011
team:Czechoslovakia,match_23,team_match,0.3
sponsor:Visa,team:Czechoslovakia,sponsor_team_panel,0.714
sponsor:Visa,match_23,sponsor_match_exposure,3.239
team:Egypt,match_24,team_match,0.202
sponsor:Hyundai,team:Egypt,sponsor_team_panel,0.728
sponsor:Hyundai,match_24,sponsor_match_exposure,2.984
team:Italy,match_25,team_match,0.316
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_25,sponsor_match_exposure,3.489
team:Netherlands,match_26,team_match,0.377
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.819
sponsor:Hisense,match_26,sponsor_match_exposure,3.696
team:Austria,match_27,team_match,0.327
sponsor:McDonald's,team:Austria,sponsor_team_panel,0.447
sponsor:McDonald's,match_27,sponsor_match_exposure,3.099
team:Czechoslovakia,match_28,team_match,0.346
sponsor:Visa,team:Czechoslovakia,sponsor_team_panel,0.714
sponsor:Visa,match_28,sponsor_match_exposure,3.312
team:Germany,match_29,team_match,0.522
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.722
sponsor:Coca-Cola,match_29,sponsor_match_exposure,3.869
team:Italy,match_30,team_match,0.222
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_30,sponsor_match_exposure,3.358
team:Italy,match_31,team_match,0.191
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_31,sponsor_match_exposure,3.234
team:Czechoslovakia,match_32,team_match,0.339
sponsor:Visa,team:Czechoslovakia,sponsor_team_panel,0.714
sponsor:Visa,match_32,sponsor_match_exposure,3.249
team:Italy,match_33,team_match,0.191
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_33,sponsor_match_exposure,3.27
team:Austria,match_34,team_match,0.398
sponsor:McDonald's,team:Austria,sponsor_team_panel,0.447
sponsor:McDonald's,match_34,sponsor_match_exposure,3.21
team:Italy,match_35,team_match,0.218
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_35,sponsor_match_exposure,3.321
team:Germany,match_36,team_match,0.511
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.722
sponsor:Coca-Cola,match_36,sponsor_match_exposure,3.843
team:Brazil,match_37,team_match,0.582
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_37,sponsor_match_exposure,4.264
team:Cuba,match_38,team_match,0.248
sponsor:Vivo,team:Cuba,sponsor_team_panel,0.386
sponsor:Vivo,match_38,sponsor_match_exposure,3.122
team:Czechoslovakia,match_39,team_match,0.328
sponsor:Visa,team:Czechoslovakia,sponsor_team_panel,0.714
sponsor:Visa,match_39,sponsor_match_exposure,3.265
team:France,match_40,team_match,0.47
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.501
sponsor:Qatar Airways,match_40,sponsor_match_exposure,3.457
team:Hungary,match_41,team_match,0.44
sponsor:Adidas,team:Hungary,sponsor_team_panel,0.932
sponsor:Adidas,match_41,sponsor_match_exposure,3.918
team:Italy,match_42,team_match,0.234
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_42,sponsor_match_exposure,3.349
team:Cuba,match_43,team_match,0.164
sponsor:Vivo,team:Cuba,sponsor_team_panel,0.386
sponsor:Vivo,match_43,sponsor_match_exposure,2.944
team:Germany,match_44,team_match,0.571
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.722
sponsor:Coca-Cola,match_44,sponsor_match_exposure,3.932
team:Brazil,match_45,team_match,0.416
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_45,sponsor_match_exposure,3.963
team:Cuba,match_46,team_match,0.257
sponsor:Vivo,team:Cuba,sponsor_team_panel,0.386
sponsor:Vivo,match_46,sponsor_match_exposure,3.096
team:France,match_47,team_match,0.45
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.501
sponsor:Qatar Airways,match_47,sponsor_match_exposure,3.4
team:Hungary,match_48,team_match,0.379
sponsor:Adidas,team:Hungary,sponsor_team_panel,0.932
sponsor:Adidas,match_48,sponsor_match_exposure,3.763
team:Brazil,match_49,team_match,0.431
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_49,sponsor_match_exposure,4.027
team:Brazil,match_50,team_match,0.448
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_50,sponsor_match_exposure,3.992
team:Hungary,match_51,team_match,0.434
sponsor:Adidas,team:Hungary,sponsor_team_panel,0.932
sponsor:Adidas,match_51,sponsor_match_exposure,3.867
team:Brazil,match_52,team_match,0.517
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_52,sponsor_match_exposure,4.14
team:Hungary,match_53,team_match,0.445
sponsor:Adidas,team:Hungary,sponsor_team_panel,0.932
sponsor:Adidas,match_53,sponsor_match_exposure,3.833
team:Brazil,match_54,team_match,0.514
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_54,sponsor_match_exposure,4.201
team:Chile,match_55,team_match,0.4
sponsor:Hisense,team:Chile,sponsor_team_panel,0.738
sponsor:Hisense,match_55,sponsor_match_exposure,3.639
team:Italy,match_56,team_match,0.31
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_56,sponsor_match_exposure,3.386
team:Spain,match_57,team_match,0.497
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.67
sponsor:Budweiser,match_57,sponsor_match_exposure,3.694
team:Switzerland,match_58,team_match,0.43
sponsor:Adidas,team:Switzerland,sponsor_team_panel,0.904
sponsor:Adidas,match_58,sponsor_match_exposure,3.832
team:Brazil,match_59,team_match,0.489
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_59,sponsor_match_exposure,4.151
team:Mexico,match_60,team_match,0.506
sponsor:Hyundai,team:Mexico,sponsor_team_panel,0.719
sponsor:Hyundai,match_60,sponsor_match_exposure,3.506
team:Chile,match_61,team_match,0.395
sponsor:Hisense,team:Chile,sponsor_team_panel,0.738
sponsor:Hisense,match_61,sponsor_match_exposure,3.635
team:England,match_62,team_match,0.449
sponsor:McDonald's,team:England,sponsor_team_panel,0.426
sponsor:McDonald's,match_62,sponsor_match_exposure,3.27
team:Paraguay,match_63,team_match,0.317
sponsor:Hyundai,team:Paraguay,sponsor_team_panel,0.678
sponsor:Hyundai,match_63,sponsor_match_exposure,3.488
team:Brazil,match_64,team_match,0.448
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_64,sponsor_match_exposure,4.103
team:Bolivia,match_65,team_match,0.236
sponsor:Qatar Airways,team:Bolivia,sponsor_team_panel,0.455
sponsor:Qatar Airways,match_65,sponsor_match_exposure,2.698
team:Chile,match_66,team_match,0.468
sponsor:Hisense,team:Chile,sponsor_team_panel,0.738
sponsor:Hisense,match_66,sponsor_match_exposure,3.758
team:England,match_67,team_match,0.449
sponsor:McDonald's,team:England,sponsor_team_panel,0.426
sponsor:McDonald's,match_67,sponsor_match_exposure,3.233
team:Italy,match_68,team_match,0.29
sponsor:Visa,team:Italy,sponsor_team_panel,0.75
sponsor:Visa,match_68,sponsor_match_exposure,3.426
team:Mexico,match_69,team_match,0.476
sponsor:Hyundai,team:Mexico,sponsor_team_panel,0.719
sponsor:Hyundai,match_69,sponsor_match_exposure,3.42
team:Brazil,match_70,team_match,0.563
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_70,sponsor_match_exposure,4.257
team:Spain,match_71,team_match,0.52
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.67
sponsor:Budweiser,match_71,sponsor_match_exposure,3.711
team:Brazil,match_72,team_match,0.553
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_72,sponsor_match_exposure,4.266
